,월,사고유형,사고분류,사고분류_소,사고분류_대,사고수,계절,발생장소,보행중교통사고
0,1,사고건수,차대사람_횡단중,횡단중,차대사람,1017,겨울,차도,TRUE
1,1,사망자수,차대사람_횡단중,횡단중,차대사람,33,겨울,차도,TRUE
2,1,부상자수,차대사람_횡단중,횡단중,차대사람,1036,겨울,차도,TRUE
3,2,사고건수,차대사람_횡단중,횡단중,차대사람,945,겨울,차도,TRUE
4,2,사망자수,차대사람_횡단중,횡단중,차대사람,27,겨울,차도,TRUE
5,2,부상자수,차대사람_횡단중,횡단중,차대사람,980,겨울,차도,TRUE
6,3,사고건수,차대사람_횡단중,횡단중,차대사람,1060,봄,차도,TRUE
7,3,사망자수,차대사람_횡단중,횡단중,차대사람,36,봄,차도,TRUE
8,3,부상자수,차대사람_횡단중,횡단중,차대사람,1074,봄,차도,TRUE
9,4,사고건수,차대사람_횡단중,횡단중,차대사람,1117,봄,차도,TRUE
10,4,사망자수,차대사람_횡단중,횡단중,차대사람,31,봄,차도,TRUE
11,4,부상자수,차대사람_횡단중,횡단중,차대사람,1162,봄,차도,TRUE
12,5,사고건수,차대사람_횡단중,횡단중,차대사람,1091,봄,차도,TRUE
13,5,사망자수,차대사람_횡단중,횡단중,차대사람,39,봄,차도,TRUE
14,5,부상자수,차대사람_횡단중,횡단중,차대사람,1128,봄,차도,TRUE
15,6,사고건수,차대사람_횡단중,횡단중,차대사람,1000,봄,차도,TRUE
16,6,사망자수,차대사람_횡단중,횡단중,차대사람,23,봄,차도,TRUE
17,6,부상자수,차대사람_횡단중,횡단중,차대사람,1024,봄,차도,TRUE
18,7,사고건수,차대사람_횡단중,횡단중,차대사람,944,여름,차도,TRUE
19,7,사망자수,차대사람_횡단중,횡단중,차대사람,35,여름,차도,TRUE
20,7,부상자수,차대사람_횡단중,횡단중,차대사람,983,여름,차도,TRUE
21,8,사고건수,차대사람_횡단중,횡단중,차대사람,951,여름,차도,TRUE
22,8,사망자수,차대사람_횡단중,횡단중,차대사람,35,여름,차도,TRUE
23,8,부상자수,차대사람_횡단중,횡단중,차대사람,976,여름,차도,TRUE
24,9,사고건수,차대사람_횡단중,횡단중,차대사람,1042,가을,차도,TRUE
25,9,사망자수,차대사람_횡단중,횡단중,차대사람,39,가을,차도,TRUE
26,9,부상자수,차대사람_횡단중,횡단중,차대사람,1062,가을,차도,TRUE
27,10,사고건수,차대사람_횡단중,횡단중,차대사람,1163,가을,차도,TRUE
28,10,사망자수,차대사람_횡단중,횡단중,차대사람,61,가을,차도,TRUE
29,10,부상자수,차대사람_횡단중,횡단중,차대사람,1192,가을,차도,TRUE
30,11,사고건수,차대사람_횡단중,횡단중,차대사람,1267,가을,차도,TRUE
31,11,사망자수,차대사람_횡단중,횡단중,차대사람,41,가을,차도,TRUE
32,11,부상자수,차대사람_횡단중,횡단중,차대사람,1303,가을,차도,TRUE
33,12,사고건수,차대사람_횡단중,횡단중,차대사람,1170,겨울,차도,TRUE
34,12,사망자수,차대사람_횡단중,횡단중,차대사람,45,겨울,차도,TRUE
35,12,부상자수,차대사람_횡단중,횡단중,차대사람,1201,겨울,차도,TRUE
