도로종류,시간대,사고수,월,유형
일반국도,00시-02시,22,01,사고건수
일반국도,02시-04시,10,01,사고건수
일반국도,04시-06시,29,01,사고건수
일반국도,06시-08시,91,01,사고건수
일반국도,08시-10시,144,01,사고건수
일반국도,10시-12시,122,01,사고건수
일반국도,12시-14시,150,01,사고건수
일반국도,14시-16시,147,01,사고건수
일반국도,16시-18시,140,01,사고건수
일반국도,18시-20시,204,01,사고건수
일반국도,20시-22시,141,01,사고건수
일반국도,22시-24시,72,01,사고건수
지방도,00시-02시,15,01,사고건수
지방도,02시-04시,7,01,사고건수
지방도,04시-06시,16,01,사고건수
지방도,06시-08시,65,01,사고건수
지방도,08시-10시,108,01,사고건수
지방도,10시-12시,108,01,사고건수
지방도,12시-14시,116,01,사고건수
지방도,14시-16시,107,01,사고건수
지방도,16시-18시,120,01,사고건수
지방도,18시-20시,176,01,사고건수
지방도,20시-22시,89,01,사고건수
지방도,22시-24시,54,01,사고건수
특별광역시도,00시-02시,154,01,사고건수
특별광역시도,02시-04시,73,01,사고건수
특별광역시도,04시-06시,98,01,사고건수
특별광역시도,06시-08시,271,01,사고건수
특별광역시도,08시-10시,491,01,사고건수
특별광역시도,10시-12시,550,01,사고건수
특별광역시도,12시-14시,710,01,사고건수
특별광역시도,14시-16시,756,01,사고건수
특별광역시도,16시-18시,751,01,사고건수
특별광역시도,18시-20시,1072,01,사고건수
특별광역시도,20시-22시,895,01,사고건수
특별광역시도,22시-24시,359,01,사고건수
시도,00시-02시,109,01,사고건수
시도,02시-04시,45,01,사고건수
시도,04시-06시,65,01,사고건수
시도,06시-08시,307,01,사고건수
시도,08시-10시,418,01,사고건수
시도,10시-12시,467,01,사고건수
시도,12시-14시,541,01,사고건수
시도,14시-16시,562,01,사고건수
시도,16시-18시,590,01,사고건수
시도,18시-20시,878,01,사고건수
시도,20시-22시,683,01,사고건수
시도,22시-24시,264,01,사고건수
군도,00시-02시,3,01,사고건수
군도,02시-04시,1,01,사고건수
군도,04시-06시,0,01,사고건수
군도,06시-08시,17,01,사고건수
군도,08시-10시,50,01,사고건수
군도,10시-12시,69,01,사고건수
군도,12시-14시,61,01,사고건수
군도,14시-16시,67,01,사고건수
군도,16시-18시,62,01,사고건수
군도,18시-20시,72,01,사고건수
군도,20시-22시,48,01,사고건수
군도,22시-24시,7,01,사고건수
고속국도,00시-02시,13,01,사고건수
고속국도,02시-04시,7,01,사고건수
고속국도,04시-06시,13,01,사고건수
고속국도,06시-08시,29,01,사고건수
고속국도,08시-10시,31,01,사고건수
고속국도,10시-12시,41,01,사고건수
고속국도,12시-14시,33,01,사고건수
고속국도,14시-16시,32,01,사고건수
고속국도,16시-18시,47,01,사고건수
고속국도,18시-20시,50,01,사고건수
고속국도,20시-22시,39,01,사고건수
고속국도,22시-24시,17,01,사고건수
일반국도,00시-02시,0,01,사망자수
일반국도,02시-04시,2,01,사망자수
일반국도,04시-06시,3,01,사망자수
일반국도,06시-08시,7,01,사망자수
일반국도,08시-10시,4,01,사망자수
일반국도,10시-12시,2,01,사망자수
일반국도,12시-14시,1,01,사망자수
일반국도,14시-16시,1,01,사망자수
일반국도,16시-18시,3,01,사망자수
일반국도,18시-20시,7,01,사망자수
일반국도,20시-22시,4,01,사망자수
일반국도,22시-24시,3,01,사망자수
지방도,00시-02시,0,01,사망자수
지방도,02시-04시,1,01,사망자수
지방도,04시-06시,1,01,사망자수
지방도,06시-08시,6,01,사망자수
지방도,08시-10시,2,01,사망자수
지방도,10시-12시,0,01,사망자수
지방도,12시-14시,3,01,사망자수
지방도,14시-16시,3,01,사망자수
지방도,16시-18시,3,01,사망자수
지방도,18시-20시,4,01,사망자수
지방도,20시-22시,1,01,사망자수
지방도,22시-24시,2,01,사망자수
특별광역시도,00시-02시,3,01,사망자수
특별광역시도,02시-04시,1,01,사망자수
특별광역시도,04시-06시,2,01,사망자수
특별광역시도,06시-08시,4,01,사망자수
특별광역시도,08시-10시,3,01,사망자수
특별광역시도,10시-12시,1,01,사망자수
특별광역시도,12시-14시,3,01,사망자수
특별광역시도,14시-16시,5,01,사망자수
특별광역시도,16시-18시,1,01,사망자수
특별광역시도,18시-20시,3,01,사망자수
특별광역시도,20시-22시,4,01,사망자수
특별광역시도,22시-24시,3,01,사망자수
시도,00시-02시,4,01,사망자수
시도,02시-04시,2,01,사망자수
시도,04시-06시,1,01,사망자수
시도,06시-08시,6,01,사망자수
