도로형태,시간대,사고수,월,유형
터널안,00시-02시,1,01,사고건수
터널안,02시-04시,1,01,사고건수
터널안,04시-06시,1,01,사고건수
터널안,06시-08시,3,01,사고건수
터널안,08시-10시,5,01,사고건수
터널안,10시-12시,6,01,사고건수
터널안,12시-14시,10,01,사고건수
터널안,14시-16시,8,01,사고건수
터널안,16시-18시,2,01,사고건수
터널안,18시-20시,10,01,사고건수
터널안,20시-22시,5,01,사고건수
터널안,22시-24시,4,01,사고건수
교량위,00시-02시,3,01,사고건수
교량위,02시-04시,3,01,사고건수
교량위,04시-06시,3,01,사고건수
교량위,06시-08시,2,01,사고건수
교량위,08시-10시,11,01,사고건수
교량위,10시-12시,19,01,사고건수
교량위,12시-14시,9,01,사고건수
교량위,14시-16시,8,01,사고건수
교량위,16시-18시,7,01,사고건수
교량위,18시-20시,27,01,사고건수
교량위,20시-22시,10,01,사고건수
교량위,22시-24시,6,01,사고건수
고가도로위,00시-02시,2,01,사고건수
고가도로위,02시-04시,0,01,사고건수
고가도로위,04시-06시,0,01,사고건수
고가도로위,06시-08시,3,01,사고건수
고가도로위,08시-10시,6,01,사고건수
고가도로위,10시-12시,7,01,사고건수
고가도로위,12시-14시,5,01,사고건수
고가도로위,14시-16시,7,01,사고건수
고가도로위,16시-18시,4,01,사고건수
고가도로위,18시-20시,4,01,사고건수
고가도로위,20시-22시,5,01,사고건수
고가도로위,22시-24시,4,01,사고건수
지하차도(도로)내,00시-02시,6,01,사고건수
지하차도(도로)내,02시-04시,2,01,사고건수
지하차도(도로)내,04시-06시,0,01,사고건수
지하차도(도로)내,06시-08시,9,01,사고건수
지하차도(도로)내,08시-10시,21,01,사고건수
지하차도(도로)내,10시-12시,24,01,사고건수
지하차도(도로)내,12시-14시,27,01,사고건수
지하차도(도로)내,14시-16시,26,01,사고건수
지하차도(도로)내,16시-18시,25,01,사고건수
지하차도(도로)내,18시-20시,38,01,사고건수
지하차도(도로)내,20시-22시,31,01,사고건수
지하차도(도로)내,22시-24시,13,01,사고건수
교차로내,00시-02시,111,01,사고건수
교차로내,02시-04시,49,01,사고건수
교차로내,04시-06시,74,01,사고건수
교차로내,06시-08시,240,01,사고건수
교차로내,08시-10시,412,01,사고건수
교차로내,10시-12시,453,01,사고건수
교차로내,12시-14시,554,01,사고건수
교차로내,14시-16시,548,01,사고건수
교차로내,16시-18시,549,01,사고건수
교차로내,18시-20시,803,01,사고건수
교차로내,20시-22시,581,01,사고건수
교차로내,22시-24시,241,01,사고건수
교차로횡단보도내,00시-02시,5,01,사고건수
교차로횡단보도내,02시-04시,3,01,사고건수
교차로횡단보도내,04시-06시,11,01,사고건수
교차로횡단보도내,06시-08시,48,01,사고건수
교차로횡단보도내,08시-10시,43,01,사고건수
교차로횡단보도내,10시-12시,41,01,사고건수
교차로횡단보도내,12시-14시,51,01,사고건수
교차로횡단보도내,14시-16시,51,01,사고건수
교차로횡단보도내,16시-18시,66,01,사고건수
교차로횡단보도내,18시-20시,88,01,사고건수
교차로횡단보도내,20시-22시,82,01,사고건수
교차로횡단보도내,22시-24시,18,01,사고건수
교차로부근,00시-02시,42,01,사고건수
교차로부근,02시-04시,23,01,사고건수
교차로부근,04시-06시,24,01,사고건수
교차로부근,06시-08시,115,01,사고건수
교차로부근,08시-10시,186,01,사고건수
교차로부근,10시-12시,217,01,사고건수
교차로부근,12시-14시,226,01,사고건수
교차로부근,14시-16시,246,01,사고건수
교차로부근,16시-18시,282,01,사고건수
교차로부근,18시-20시,409,01,사고건수
교차로부근,20시-22시,374,01,사고건수
교차로부근,22시-24시,161,01,사고건수
터널안,00시-02시,0,01,사망자수
터널안,02시-04시,0,01,사망자수
터널안,04시-06시,0,01,사망자수
터널안,06시-08시,0,01,사망자수
터널안,08시-10시,0,01,사망자수
터널안,10시-12시,0,01,사망자수
터널안,12시-14시,0,01,사망자수
터널안,14시-16시,1,01,사망자수
터널안,16시-18시,0,01,사망자수
터널안,18시-20시,0,01,사망자수
터널안,20시-22시,0,01,사망자수
터널안,22시-24시,0,01,사망자수
교량위,00시-02시,0,01,사망자수
교량위,02시-04시,0,01,사망자수
교량위,04시-06시,0,01,사망자수
교량위,06시-08시,1,01,사망자수
교량위,08시-10시,0,01,사망자수
교량위,10시-12시,1,01,사망자수
교량위,12시-14시,1,01,사망자수
교량위,14시-16시,0,01,사망자수
교량위,16시-18시,0,01,사망자수
교량위,18시-20시,0,01,사망자수
교량위,20시-22시,0,01,사망자수
교량위,22시-24시,0,01,사망자수
고가도로위,00시-02시,0,01,사망자수
고가도로위,02시-04시,0,01,사망자수
고가도로위,04시-06시,0,01,사망자수
고가도로위,06시-08시,0,01,사망자수
고가도로위,08시-10시,0,01,사망자수
고가도로위,10시-12시,0,01,사망자수
고가도로위,12시-14시,0,01,사망자수
고가도로위,14시-16시,0,01,사망자수
고가도로위,16시-18시,0,01,사망자수
고가도로위,18시-20시,0,01,사망자수
고가도로위,20시-22시,0,01,사망자수
고가도로위,22시-24시,2,01,사망자수
지하차도(도로)내,00시-02시,0,01,사망자수
지하차도(도로)내,02시-04시,0,01,사망자수
지하차도(도로)내,04시-06시,0,01,사망자수
지하차도(도로)내,06시-08시,0,01,사망자수
지하차도(도로)내,08시-10시,0,01,사망자수
지하차도(도로)내,10시-12시,2,01,사망자수
지하차도(도로)내,12시-14시,0,01,사망자수
지하차도(도로)내,14시-16시,0,01,사망자수
지하차도(도로)내,16시-18시,0,01,사망자수
지하차도(도로)내,18시-20시,1,01,사망자수
지하차도(도로)내,20시-22시,1,01,사망자수
지하차도(도로)내,22시-24시,0,01,사망자수
교차로내,00시-02시,0,01,사망자수
교차로내,02시-04시,1,01,사망자수
교차로내,04시-06시,1,01,사망자수
교차로내,06시-08시,4,01,사망자수
교차로내,08시-10시,3,01,사망자수
교차로내,10시-12시,0,01,사망자수
교차로내,12시-14시,1,01,사망자수
교차로내,14시-16시,3,01,사망자수
교차로내,16시-18시,3,01,사망자수
교차로내,18시-20시,5,01,사망자수
교차로내,20시-22시,5,01,사망자수
교차로내,22시-24시,5,01,사망자수
교차로횡단보도내,00시-02시,0,01,사망자수
교차로횡단보도내,02시-04시,0,01,사망자수
교차로횡단보도내,04시-06시,1,01,사망자수
교차로횡단보도내,06시-08시,4,01,사망자수
교차로횡단보도내,08시-10시,1,01,사망자수
교차로횡단보도내,10시-12시,1,01,사망자수
교차로횡단보도내,12시-14시,1,01,사망자수
교차로횡단보도내,14시-16시,2,01,사망자수
교차로횡단보도내,16시-18시,0,01,사망자수
교차로횡단보도내,18시-20시,0,01,사망자수
교차로횡단보도내,20시-22시,2,01,사망자수
교차로횡단보도내,22시-24시,0,01,사망자수
교차로부근,00시-02시,1,01,사망자수
교차로부근,02시-04시,2,01,사망자수
교차로부근,04시-06시,0,01,사망자수
교차로부근,06시-08시,5,01,사망자수
교차로부근,08시-10시,1,01,사망자수
교차로부근,10시-12시,0,01,사망자수
교차로부근,12시-14시,2,01,사망자수
교차로부근,14시-16시,3,01,사망자수
교차로부근,16시-18시,3,01,사망자수
교차로부근,18시-20시,2,01,사망자수
교차로부근,20시-22시,3,01,사망자수
교차로부근,22시-24시,1,01,사망자수
터널안,00시-02시,1,01,부상자수
터널안,02시-04시,2,01,부상자수
터널안,04시-06시,1,01,부상자수
터널안,06시-08시,3,01,부상자수
터널안,08시-10시,7,01,부상자수
터널안,10시-12시,12,01,부상자수
터널안,12시-14시,29,01,부상자수
터널안,14시-16시,12,01,부상자수
터널안,16시-18시,14,01,부상자수
터널안,18시-20시,17,01,부상자수
터널안,20시-22시,8,01,부상자수
터널안,22시-24시,4,01,부상자수
교량위,00시-02시,3,01,부상자수
교량위,02시-04시,3,01,부상자수
교량위,04시-06시,3,01,부상자수
교량위,06시-08시,3,01,부상자수
교량위,08시-10시,17,01,부상자수
교량위,10시-12시,31,01,부상자수
교량위,12시-14시,17,01,부상자수
교량위,14시-16시,14,01,부상자수
교량위,16시-18시,9,01,부상자수
교량위,18시-20시,42,01,부상자수
교량위,20시-22시,13,01,부상자수
교량위,22시-24시,11,01,부상자수
고가도로위,00시-02시,3,01,부상자수
고가도로위,02시-04시,0,01,부상자수
고가도로위,04시-06시,0,01,부상자수
고가도로위,06시-08시,3,01,부상자수
고가도로위,08시-10시,8,01,부상자수
고가도로위,10시-12시,10,01,부상자수
고가도로위,12시-14시,6,01,부상자수
고가도로위,14시-16시,13,01,부상자수
고가도로위,16시-18시,5,01,부상자수
고가도로위,18시-20시,8,01,부상자수
고가도로위,20시-22시,7,01,부상자수
고가도로위,22시-24시,5,01,부상자수
지하차도(도로)내,00시-02시,7,01,부상자수
지하차도(도로)내,02시-04시,2,01,부상자수
지하차도(도로)내,04시-06시,0,01,부상자수
지하차도(도로)내,06시-08시,10,01,부상자수
지하차도(도로)내,08시-10시,29,01,부상자수
지하차도(도로)내,10시-12시,35,01,부상자수
지하차도(도로)내,12시-14시,47,01,부상자수
