,월,평일/주말,요일,시간대,오전/오후,주간/야간,사고유형,건수
0,01,주말,일,00시-02시,오전,야간,사고건수,68
1,01,주말,일,02시-04시,오전,야간,사고건수,22
2,01,주말,일,04시-06시,오전,야간,사고건수,21
3,01,주말,일,06시-08시,오전,야간,사고건수,34
4,01,주말,일,08시-10시,오전,주간,사고건수,74
5,01,주말,일,10시-12시,오전,주간,사고건수,144
6,01,주말,일,12시-14시,오후,주간,사고건수,217
7,01,주말,일,14시-16시,오후,주간,사고건수,218
8,01,주말,일,16시-18시,오후,주간,사고건수,216
9,01,주말,일,18시-20시,오후,야간,사고건수,275
10,01,주말,일,20시-22시,오후,야간,사고건수,219
11,01,주말,일,22시-24시,오후,야간,사고건수,90
12,01,평일,월,00시-02시,오전,야간,사고건수,19
13,01,평일,월,02시-04시,오전,야간,사고건수,9
14,01,평일,월,04시-06시,오전,야간,사고건수,21
15,01,평일,월,06시-08시,오전,야간,사고건수,150
16,01,평일,월,08시-10시,오전,주간,사고건수,198
17,01,평일,월,10시-12시,오전,주간,사고건수,201
18,01,평일,월,12시-14시,오후,주간,사고건수,196
19,01,평일,월,14시-16시,오후,주간,사고건수,230
20,01,평일,월,16시-18시,오후,주간,사고건수,243
21,01,평일,월,18시-20시,오후,야간,사고건수,361
22,01,평일,월,20시-22시,오후,야간,사고건수,257
23,01,평일,월,22시-24시,오후,야간,사고건수,93
24,01,평일,화,00시-02시,오전,야간,사고건수,36
25,01,평일,화,02시-04시,오전,야간,사고건수,15
26,01,평일,화,04시-06시,오전,야간,사고건수,37
27,01,평일,화,06시-08시,오전,야간,사고건수,130
28,01,평일,화,08시-10시,오전,주간,사고건수,205
29,01,평일,화,10시-12시,오전,주간,사고건수,201
30,01,평일,화,12시-14시,오후,주간,사고건수,222
31,01,평일,화,14시-16시,오후,주간,사고건수,247
32,01,평일,화,16시-18시,오후,주간,사고건수,254
33,01,평일,화,18시-20시,오후,야간,사고건수,335
34,01,평일,화,20시-22시,오후,야간,사고건수,248
35,01,평일,화,22시-24시,오후,야간,사고건수,102
36,01,평일,수,00시-02시,오전,야간,사고건수,42
37,01,평일,수,02시-04시,오전,야간,사고건수,23
