,법규위반유형,유형,주야,월,사고수
0,과속,사고건수,주,01,37
1,과속,사망자수,주,01,2
2,과속,부상자수,주,01,88
3,과속,사고건수,주,02,55
4,과속,사망자수,주,02,11
5,과속,부상자수,주,02,110
6,과속,사고건수,주,03,55
7,과속,사망자수,주,03,6
8,과속,부상자수,주,03,103
9,과속,사고건수,주,04,54
10,과속,사망자수,주,04,7
11,과속,부상자수,주,04,111
12,과속,사고건수,주,05,57
13,과속,사망자수,주,05,8
14,과속,부상자수,주,05,109
15,과속,사고건수,주,06,37
16,과속,사망자수,주,06,4
17,과속,부상자수,주,06,69
18,과속,사고건수,주,07,65
19,과속,사망자수,주,07,2
20,과속,부상자수,주,07,152
21,과속,사고건수,주,08,55
22,과속,사망자수,주,08,8
23,과속,부상자수,주,08,114
24,과속,사고건수,주,09,64
25,과속,사망자수,주,09,7
26,과속,부상자수,주,09,120
27,과속,사고건수,주,10,52
28,과속,사망자수,주,10,6
29,과속,부상자수,주,10,76
30,과속,사고건수,주,11,65
31,과속,사망자수,주,11,13
32,과속,부상자수,주,11,87
33,과속,사고건수,주,12,43
34,과속,사망자수,주,12,10
35,과속,부상자수,주,12,83
36,과속,사고건수,야,01,43
37,과속,사망자수,야,01,6
38,과속,부상자수,야,01,65
39,과속,사고건수,야,02,52
40,과속,사망자수,야,02,14
41,과속,부상자수,야,02,78
42,과속,사고건수,야,03,51
43,과속,사망자수,야,03,12
44,과속,부상자수,야,03,71
45,과속,사고건수,야,04,75
46,과속,사망자수,야,04,16
47,과속,부상자수,야,04,149
48,과속,사고건수,야,05,66
49,과속,사망자수,야,05,15
50,과속,부상자수,야,05,106
51,과속,사고건수,야,06,67
52,과속,사망자수,야,06,15
53,과속,부상자수,야,06,99
54,과속,사고건수,야,07,63
55,과속,사망자수,야,07,12
56,과속,부상자수,야,07,118
57,과속,사고건수,야,08,62
58,과속,사망자수,야,08,21
59,과속,부상자수,야,08,106
60,과속,사고건수,야,09,49
61,과속,사망자수,야,09,14
62,과속,부상자수,야,09,73
63,과속,사고건수,야,10,58
64,과속,사망자수,야,10,18
65,과속,부상자수,야,10,87
66,과속,사고건수,야,11,62
67,과속,사망자수,야,11,18
68,과속,부상자수,야,11,93
69,과속,사고건수,야,12,39
70,과속,사망자수,야,12,6
71,과속,부상자수,야,12,53
72,앞지르기방법위반,사고건수,주,01,7
73,앞지르기방법위반,사망자수,주,01,0
74,앞지르기방법위반,부상자수,주,01,7
75,앞지르기방법위반,사고건수,주,02,11
76,앞지르기방법위반,사망자수,주,02,0
77,앞지르기방법위반,부상자수,주,02,16
78,앞지르기방법위반,사고건수,주,03,7
79,앞지르기방법위반,사망자수,주,03,0
80,앞지르기방법위반,부상자수,주,03,8
81,앞지르기방법위반,사고건수,주,04,10
82,앞지르기방법위반,사망자수,주,04,0
83,앞지르기방법위반,부상자수,주,04,13
84,앞지르기방법위반,사고건수,주,05,5
85,앞지르기방법위반,사망자수,주,05,0
86,앞지르기방법위반,부상자수,주,05,8
87,앞지르기방법위반,사고건수,주,06,10
88,앞지르기방법위반,사망자수,주,06,0
89,앞지르기방법위반,부상자수,주,06,16
90,앞지르기방법위반,사고건수,주,07,9
91,앞지르기방법위반,사망자수,주,07,0
92,앞지르기방법위반,부상자수,주,07,12
93,앞지르기방법위반,사고건수,주,08,7
94,앞지르기방법위반,사망자수,주,08,0
95,앞지르기방법위반,부상자수,주,08,8
96,앞지르기방법위반,사고건수,주,09,8
97,앞지르기방법위반,사망자수,주,09,0
98,앞지르기방법위반,부상자수,주,09,9
99,앞지르기방법위반,사고건수,주,10,6
100,앞지르기방법위반,사망자수,주,10,0
101,앞지르기방법위반,부상자수,주,10,8
102,앞지르기방법위반,사고건수,주,11,3
103,앞지르기방법위반,사망자수,주,11,0
104,앞지르기방법위반,부상자수,주,11,3
