	법규위반유형	유형	주야	월	사고수
0	과속	사고건수	주	1	37
1	과속	사망자수	주	1	2
2	과속	부상자수	주	1	88
3	과속	사고건수	주	2	55
4	과속	사망자수	주	2	11
5	과속	부상자수	주	2	110
6	과속	사고건수	주	3	55
7	과속	사망자수	주	3	6
8	과속	부상자수	주	3	103
9	과속	사고건수	주	4	54
10	과속	사망자수	주	4	7
11	과속	부상자수	주	4	111
12	과속	사고건수	주	5	57
13	과속	사망자수	주	5	8
14	과속	부상자수	주	5	109
15	과속	사고건수	주	6	37
16	과속	사망자수	주	6	4
17	과속	부상자수	주	6	69
18	과속	사고건수	주	7	65
19	과속	사망자수	주	7	2
20	과속	부상자수	주	7	152
21	과속	사고건수	주	8	55
22	과속	사망자수	주	8	8
23	과속	부상자수	주	8	114
24	과속	사고건수	주	9	64
25	과속	사망자수	주	9	7
26	과속	부상자수	주	9	120
27	과속	사고건수	주	10	52
28	과속	사망자수	주	10	6
29	과속	부상자수	주	10	76
30	과속	사고건수	주	11	65
31	과속	사망자수	주	11	13
32	과속	부상자수	주	11	87
33	과속	사고건수	주	12	43
34	과속	사망자수	주	12	10
35	과속	부상자수	주	12	83
36	과속	사고건수	야	1	43
37	과속	사망자수	야	1	6
38	과속	부상자수	야	1	65
39	과속	사고건수	야	2	52
40	과속	사망자수	야	2	14
41	과속	부상자수	야	2	78
42	과속	사고건수	야	3	51
43	과속	사망자수	야	3	12
44	과속	부상자수	야	3	71
45	과속	사고건수	야	4	75
46	과속	사망자수	야	4	16
47	과속	부상자수	야	4	149
48	과속	사고건수	야	5	66
49	과속	사망자수	야	5	15
50	과속	부상자수	야	5	106
51	과속	사고건수	야	6	67
52	과속	사망자수	야	6	15
53	과속	부상자수	야	6	99
54	과속	사고건수	야	7	63
55	과속	사망자수	야	7	12
56	과속	부상자수	야	7	118
57	과속	사고건수	야	8	62
58	과속	사망자수	야	8	21
59	과속	부상자수	야	8	106
60	과속	사고건수	야	9	49
61	과속	사망자수	야	9	14
62	과속	부상자수	야	9	73
63	과속	사고건수	야	10	58
64	과속	사망자수	야	10	18
65	과속	부상자수	야	10	87
66	과속	사고건수	야	11	62
67	과속	사망자수	야	11	18
68	과속	부상자수	야	11	93
69	과속	사고건수	야	12	39
70	과속	사망자수	야	12	6
71	과속	부상자수	야	12	53
72	앞지르기방법위반	사고건수	주	1	7
73	앞지르기방법위반	사망자수	주	1	0
74	앞지르기방법위반	부상자수	주	1	7
75	앞지르기방법위반	사고건수	주	2	11
76	앞지르기방법위반	사망자수	주	2	0
77	앞지르기방법위반	부상자수	주	2	16
78	앞지르기방법위반	사고건수	주	3	7
79	앞지르기방법위반	사망자수	주	3	0
80	앞지르기방법위반	부상자수	주	3	8
81	앞지르기방법위반	사고건수	주	4	10
82	앞지르기방법위반	사망자수	주	4	0
83	앞지르기방법위반	부상자수	주	4	13
84	앞지르기방법위반	사고건수	주	5	5
85	앞지르기방법위반	사망자수	주	5	0
86	앞지르기방법위반	부상자수	주	5	8
87	앞지르기방법위반	사고건수	주	6	10
88	앞지르기방법위반	사망자수	주	6	0
89	앞지르기방법위반	부상자수	주	6	16
90	앞지르기방법위반	사고건수	주	7	9
91	앞지르기방법위반	사망자수	주	7	0
92	앞지르기방법위반	부상자수	주	7	12
93	앞지르기방법위반	사고건수	주	8	7
94	앞지르기방법위반	사망자수	주	8	0
95	앞지르기방법위반	부상자수	주	8	8
96	앞지르기방법위반	사고건수	주	9	8
97	앞지르기방법위반	사망자수	주	9	0
98	앞지르기방법위반	부상자수	주	9	9
99	앞지르기방법위반	사고건수	주	10	6
