차종,01_사고건수,01_사망자수,01_부상자수,02_사고건수,02_사망자수,02_부상자수,03_사고건수,03_사망자수,03_부상자수,04_사고건수,04_사망자수,04_부상자수,05_사고건수,05_사망자수,05_부상자수,06_사고건수,06_사망자수,06_부상자수,07_사고건수,07_사망자수,07_부상자수,08_사고건수,08_사망자수,08_부상자수,09_사고건수,09_사망자수,09_부상자수,10_사고건수,10_사망자수,10_부상자수,11_사고건수,11_사망자수,11_부상자수,12_사고건수,12_사망자수,12_부상자수
승용차,10031,104,14704,9774,93,14572,10937,98,16279,11160,97,16599,11303,113,16847,11159,95,16535,11476,103,17097,10411,117,15675,11004,104,16185,11859,149,17556,12032,134,17436,11294,141,16201
승합차,732,10,1087,687,16,1019,872,9,1244,826,8,1197,865,13,1266,868,3,1366,835,15,1190,743,12,1100,830,9,1168,853,17,1234,927,16,1360,885,18,1279
화물차,2057,54,2933,1897,49,2857,2119,52,3095,2173,52,3203,2110,59,3123,2298,52,3375,2272,57,3354,2143,46,3132,2088,60,3016,2402,67,3488,2376,78,3453,2146,61,3023
특수차,95,1,142,81,1,122,101,4,159,110,6,185,110,2,172,103,7,144,108,3,145,98,4,156,95,2,132,112,2,174,99,4,149,116,3,167
이륜차(AVT포함),1139,13,1457,1184,25,1524,1399,28,1786,1618,34,2166,1693,47,2186,1699,40,2160,1915,42,2483,1744,39,2254,1646,44,2166,1710,51,2244,1435,33,1854,1442,24,1845
원동기장치자전거,184,4,218,145,3,191,204,0,263,218,6,268,166,1,220,147,3,192,148,3,192,138,5,166,145,3,183,171,6,211,150,2,187,158,3,201
자전거,188,2,201,268,7,284,405,5,434,610,6,663,530,5,583,622,10,678,597,12,646,547,8,609,563,5,614,512,5,563,410,4,450,257,1,274
개인형이동수단(PM),55,1,60,51,2,56,133,1,143,173,0,201,166,0,186,167,2,179,186,2,199,181,1,197,184,2,206,174,4,189,152,2,164,113,2,121
건설기계,189,5,264,189,5,286,202,7,281,270,2,382,183,4,275,243,7,359,211,8,302,166,10,225,199,7,304,219,7,314,229,6,339,210,11,268
농기계,5,2,3,14,2,14,24,5,20,29,0,39,41,11,42,57,8,65,42,9,39,31,5,34,38,8,43,34,4,40,31,6,33,18,2,22
기타/불명,234,1,254,221,0,235,204,0,224,216,1,239,211,0,225,212,0,237,204,0,223,216,0,234,220,2,235,254,0,294,255,0,281,295,3,322
