차종,합계,합계,합계,202101,202101,202101,202102,202102,202102,202103,202103,202103,202104,202104,202104,202105,202105,202105,202106,202106,202106,202107,202107,202107,202108,202108,202108,202109,202109,202109,202110,202110,202110,202111,202111,202111,202112,202112,202112
차종,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수
승용차,"132,440","1,348","195,686","10,031",104,"14,704","9,774",93,"14,572","10,937",98,"16,279","11,160",97,"16,599","11,303",113,"16,847","11,159",95,"16,535","11,476",103,"17,097","10,411",117,"15,675","11,004",104,"16,185","11,859",149,"17,556","12,032",134,"17,436","11,294",141,"16,201"
승합차,"9,923",146,"14,510",732,10,"1,087",687,16,"1,019",872,9,"1,244",826,8,"1,197",865,13,"1,266",868,3,"1,366",835,15,"1,190",743,12,"1,100",830,9,"1,168",853,17,"1,234",927,16,"1,360",885,18,"1,279"
화물차,"26,081",687,"38,052","2,057",54,"2,933","1,897",49,"2,857","2,119",52,"3,095","2,173",52,"3,203","2,110",59,"3,123","2,298",52,"3,375","2,272",57,"3,354","2,143",46,"3,132","2,088",60,"3,016","2,402",67,"3,488","2,376",78,"3,453","2,146",61,"3,023"
특수차,"1,228",39,"1,847",95,1,142,81,1,122,101,4,159,110,6,185,110,2,172,103,7,144,108,3,145,98,4,156,95,2,132,112,2,174,99,4,149,116,3,167
이륜차(AVT포함),"18,624",420,"24,125","1,139",13,"1,457","1,184",25,"1,524","1,399",28,"1,786","1,618",34,"2,166","1,693",47,"2,186","1,699",40,"2,160","1,915",42,"2,483","1,744",39,"2,254","1,646",44,"2,166","1,710",51,"2,244","1,435",33,"1,854","1,442",24,"1,845"
원동기장치자전거,"1,974",39,"2,492",184,4,218,145,3,191,204,0,263,218,6,268,166,1,220,147,3,192,148,3,192,138,5,166,145,3,183,171,6,211,150,2,187,158,3,201
자전거,"5,509",70,"5,999",188,2,201,268,7,284,405,5,434,610,6,663,530,5,583,622,10,678,597,12,646,547,8,609,563,5,614,512,5,563,410,4,450,257,1,274
개인형이동수단(PM),"1,735",19,"1,901",55,1,60,51,2,56,133,1,143,173,0,201,166,0,186,167,2,179,186,2,199,181,1,197,184,2,206,174,4,189,152,2,164,113,2,121
건설기계,"2,510",79,"3,599",189,5,264,189,5,286,202,7,281,270,2,382,183,4,275,243,7,359,211,8,302,166,10,225,199,7,304,219,7,314,229,6,339,210,11,268
농기계,364,62,394,5,2,3,14,2,14,24,5,20,29,0,39,41,11,42,57,8,65,42,9,39,31,5,34,38,8,43,34,4,40,31,6,33,18,2,22
기타/불명,"2,742",7,"3,003",234,1,254,221,0,235,204,0,224,216,1,239,211,0,225,212,0,237,204,0,223,216,0,234,220,2,235,254,0,294,255,0,281,295,3,322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
