연령,합계,월,발생건수
20세이하,6960,1,363
21~30세,29076,1,2185
31~40세,30304,1,2461
41~50세,36480,1,2780
51~60세,46938,1,3537
61~64세,18578,1,1291
65세이상,31841,1,2048
20세이하,6960,2,422
21~30세,29076,2,2094
31~40세,30304,2,2218
41~50세,36480,2,2630
51~60세,46938,2,3411
61~64세,18578,2,1320
65세이상,31841,2,2180
20세이하,6960,3,570
21~30세,29076,3,2355
31~40세,30304,3,2466
41~50세,36480,3,2883
51~60세,46938,3,3979
61~64세,18578,3,1525
65세이상,31841,3,2611
20세이하,6960,4,683
21~30세,29076,4,2497
31~40세,30304,4,2555
41~50세,36480,4,3214
51~60세,46938,4,4096
61~64세,18578,4,1501
65세이상,31841,4,2622
20세이하,6960,5,669
21~30세,29076,5,2506
31~40세,30304,5,2626
41~50세,36480,5,3159
51~60세,46938,5,3899
61~64세,18578,5,1616
65세이상,31841,5,2669
20세이하,6960,6,666
21~30세,29076,6,2542
31~40세,30304,6,2649
41~50세,36480,6,3103
51~60세,46938,6,4021
61~64세,18578,6,1590
65세이상,31841,6,2754
20세이하,6960,7,687
21~30세,29076,7,2597
31~40세,30304,7,2651
41~50세,36480,7,3236
51~60세,46938,7,4132
61~64세,18578,7,1671
65세이상,31841,7,2806
20세이하,6960,8,648
21~30세,29076,8,2451
31~40세,30304,8,2388
41~50세,36480,8,2888
51~60세,46938,8,3744
61~64세,18578,8,1481
65세이상,31841,8,2586
20세이하,6960,9,632
21~30세,29076,9,2361
31~40세,30304,9,2402
41~50세,36480,9,2978
51~60세,46938,9,3939
61~64세,18578,9,1600
65세이상,31841,9,2862
20세이하,6960,10,619
21~30세,29076,10,2549
31~40세,30304,10,2664
41~50세,36480,10,3305
51~60세,46938,10,4099
61~64세,18578,10,1668
65세이상,31841,10,3117
20세이하,6960,11,534
21~30세,29076,11,2445
31~40세,30304,11,2667
41~50세,36480,11,3199
51~60세,46938,11,4252
61~64세,18578,11,1730
65세이상,31841,11,2999
20세이하,6960,12,467
21~30세,29076,12,2494
31~40세,30304,12,2557
41~50세,36480,12,3105
51~60세,46938,12,3829
61~64세,18578,12,1585
65세이상,31841,12,2587
