경찰청대분류,경찰청세분류,개인형이동수단,개인형이동수단.1,개인형이동수단.2
경찰청대분류,경찰청세분류,사고건수,사망자수,부상자수
서울지방경찰청,서울중부,4,0,4
서울지방경찰청,서울남대문,4,0,5
서울지방경찰청,서울종로,1,0,1
서울지방경찰청,서울혜화,2,0,3
서울지방경찰청,서울서대문,12,0,12
서울지방경찰청,서울서부,8,0,10
서울지방경찰청,서울용산,6,0,6
서울지방경찰청,서울성북,4,0,4
서울지방경찰청,서울강북,16,0,18
서울지방경찰청,서울동대문,16,0,17
서울지방경찰청,서울광진,19,0,22
서울지방경찰청,서울마포,33,0,36
서울지방경찰청,서울영등포,13,0,14
서울지방경찰청,서울금천,3,0,4
서울지방경찰청,서울성동,15,0,16
서울지방경찰청,서울동작,20,0,23
서울지방경찰청,서울중랑,19,0,20
서울지방경찰청,서울관악,14,0,15
서울지방경찰청,서울강남,56,0,61
서울지방경찰청,서울강서,18,0,18
서울지방경찰청,서울강동,7,0,7
서울지방경찰청,서울송파,57,0,62
서울지방경찰청,서울종암,1,0,1
서울지방경찰청,서울구로,8,0,8
서울지방경찰청,서울서초,21,0,27
서울지방경찰청,서울양천,6,0,6
서울지방경찰청,서울노원,18,1,20
서울지방경찰청,서울도봉,3,0,3
서울지방경찰청,서울은평,6,0,9
서울지방경찰청,서울방배,9,0,10
서울지방경찰청,서울수서,26,0,27
경기남부지방경찰청,수원중부,16,1,16
경기남부지방경찰청,성남수정,6,0,6
경기남부지방경찰청,평택,48,0,52
경기남부지방경찰청,안성,5,0,5
경기남부지방경찰청,안양동안,6,0,6
경기남부지방경찰청,이천,9,0,11
경기남부지방경찰청,광주,16,0,20
경기남부지방경찰청,여주,3,0,3
경기남부지방경찰청,용인동부,25,0,28
경기남부지방경찰청,김포,8,0,9
경기남부지방경찰청,양평,-,-,-
경기남부지방경찰청,부천소사,9,0,9
경기남부지방경찰청,오산,19,1,22
경기남부지방경찰청,부천원미,36,0,42
경기남부지방경찰청,광명,8,0,8
경기남부지방경찰청,안산단원,30,2,31
경기남부지방경찰청,과천,-,-,-
경기남부지방경찰청,수원남부,27,0,29
경기남부지방경찰청,군포,8,0,9
경기남부지방경찰청,성남중원,2,0,2
경기남부지방경찰청,분당,18,0,20
경기남부지방경찰청,시흥,43,0,49
경기남부지방경찰청,안산상록,26,0,29
경기남부지방경찰청,수원서부,9,0,9
경기남부지방경찰청,1지구대,-,-,-
경기남부지방경찰청,화성서부,9,0,10
경기남부지방경찰청,의왕,3,0,3
경기남부지방경찰청,하남,18,0,21
경기남부지방경찰청,안양만안,3,0,3
경기남부지방경찰청,부천오정,3,0,3
경기남부지방경찰청,용인서부,11,0,12
경기남부지방경찰청,화성동탄,17,1,18
경기북부지방경찰청,의정부,17,0,19
경기북부지방경찰청,고양,8,0,8
경기북부지방경찰청,일산동부,18,0,19
경기북부지방경찰청,남양주남부,11,0,12
경기북부지방경찰청,파주,14,0,16
경기북부지방경찰청,양주,5,0,6
경기북부지방경찰청,동두천,5,0,5
경기북부지방경찰청,구리,1,0,1
경기북부지방경찰청,포천,-,-,-
경기북부지방경찰청,가평,-,-,-
경기북부지방경찰청,연천,-,-,-
경기북부지방경찰청,일산서부,11,0,11
경기북부지방경찰청,남양주북부,5,0,5
경기북부지방경찰청,13지구대,-,-,-
