연령층,합계,합계,합계,202101,202101,202101,202102,202102,202102,202103,202103,202103,202104,202104,202104,202105,202105,202105,202106,202106,202106,202107,202107,202107,202108,202108,202108,202109,202109,202109,202110,202110,202110,202111,202111,202111,202112,202112,202112
연령층,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수,사고건수,사망자수,부상자수
20세이하,"6,960",85,"9,826",363,4,509,422,11,589,570,1,816,683,11,967,669,6,966,666,7,889,687,9,"1,024",648,5,948,632,8,887,619,11,853,534,7,725,467,5,653
21-30세,"29,076",360,"42,889","2,185",26,"3,257","2,094",20,"3,084","2,355",23,"3,490","2,497",27,"3,705","2,506",33,"3,772","2,542",32,"3,792","2,597",27,"3,801","2,451",39,"3,660","2,361",33,"3,479","2,549",37,"3,740","2,445",34,"3,552","2,494",29,"3,557"
31-40세,"30,304",350,"44,276","2,461",20,"3,550","2,218",23,"3,351","2,466",21,"3,640","2,555",34,"3,807","2,626",31,"3,789","2,649",25,"3,866","2,651",23,"3,840","2,388",36,"3,440","2,402",33,"3,558","2,664",40,"3,924","2,667",33,"3,824","2,557",31,"3,687"
41-50세,"36,480",494,"52,592","2,780",37,"3,946","2,630",34,"3,837","2,883",39,"4,155","3,214",31,"4,665","3,159",38,"4,616","3,103",44,"4,413","3,236",55,"4,700","2,888",40,"4,205","2,978",36,"4,265","3,305",50,"4,737","3,199",42,"4,567","3,105",48,"4,486"
51-60세,"46,938",639,"67,268","3,537",51,"5,070","3,411",50,"5,059","3,979",46,"5,754","4,096",56,"5,791","3,899",52,"5,603","4,021",39,"5,805","4,132",45,"5,920","3,744",45,"5,430","3,939",53,"5,508","4,099",62,"5,903","4,252",72,"6,106","3,829",68,"5,319"
61-64세,"18,578",278,"26,776","1,291",19,"1,842","1,320",16,"1,900","1,525",25,"2,175","1,501",13,"2,183","1,616",27,"2,371","1,590",11,"2,406","1,671",22,"2,414","1,481",28,"2,163","1,600",29,"2,281","1,668",32,"2,378","1,730",29,"2,492","1,585",27,"2,171"
65-70세,"17,594",328,"25,014","1,210",22,"1,718","1,220",19,"1,728","1,430",24,"2,048","1,508",21,"2,187","1,468",32,"2,072","1,513",32,"2,148","1,530",24,"2,196","1,395",22,"1,997","1,539",28,"2,235","1,670",36,"2,397","1,630",35,"2,278","1,481",33,"2,010"
71세이상,"14,247",381,"19,699",838,18,"1,163",960,30,"1,355","1,181",30,"1,618","1,114",19,"1,571","1,201",36,"1,680","1,241",37,"1,689","1,276",49,"1,741","1,191",32,"1,680","1,323",25,"1,786","1,447",44,"2,055","1,369",33,"1,867","1,106",28,"1,494"
불명,"2,953",1,"3,268",244,0,268,236,0,257,211,0,232,235,0,266,234,0,256,250,0,282,214,0,234,232,0,259,238,1,253,279,0,320,270,0,295,310,0,346
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
